arrived_date,arrived_hour,arrived_minute,record_count
2018-01-07 08:30:06.953,8,30,2
2018-01-08 09:30:11.170,9,30,40
2018-01-09 09:00:12.733,9,0,318
2018-01-10 10:00:10.730,10,0,436
2018-01-11 11:30:09.677,11,30,308
2018-01-12 12:00:07.217,12,0,354
2018-01-13 08:00:06.813,8,0,253
2018-01-14 08:00:05.267,8,0,8
2018-01-15 13:14:02.110,13,14,28
2018-01-16 10:00:10.437,10,0,511
2018-01-17 10:00:06.633,10,0,341
2018-01-18 11:30:14.490,11,30,303
2018-01-19 11:30:15.283,11,30,330
2018-01-20 09:00:00.937,9,0,274
2018-01-21 10:30:12.590,10,30,6
2018-01-22 13:00:06.353,13,0,38
2018-01-23 12:00:08.023,12,0,362
2018-01-24 12:00:10.787,12,0,362
2018-01-25 12:30:09.373,12,30,393
2018-01-26 13:30:07.757,13,30,374
2018-01-27 09:00:07.453,9,0,309
2018-01-28 09:00:00.800,9,0,3
2018-01-29 15:00:14.300,15,0,21
2018-01-30 15:30:07.633,15,30,431
2018-01-31 17:30:10.190,17,30,402
2018-02-01 17:30:10.190,10,18,322
2018-02-02 17:30:10.190,11,24,325
2018-02-03 08:30:08.317,8,30,426
2018-02-04 09:00:07.680,9,0,18
2018-02-05 14:30:15.980,14,30,20
2018-02-06 10:00:17.473,10,0,323
2018-02-07 11:30:11.570,11,30,308
2018-02-08 10:00:15.037,10,0,331
2018-02-09 12:30:10.900,12,30,345
2018-02-10 07:30:07.257,7,30,308
2018-02-11 08:30:09.750,8,30,4
2018-02-12 14:00:08.083,14,0,31
2018-02-13 10:30:17.777,10,30,313
2018-02-14 11:30:10.360,11,30,327
2018-02-15 10:30:10.300,10,30,285
2018-02-16 12:00:17.200,12,0,333
2018-02-17 08:30:00.877,8,30,260
2018-02-18 09:30:09.220,9,30,14
2018-02-19 14:00:11.120,14,0,20
2018-02-20 10:00:16.530,10,0,340
2018-02-21 15:00:08.183,15,0,373
2018-02-22 11:30:14.290,11,30,333
2018-02-23 12:00:15.937,12,0,397
2018-02-24 09:30:10.923,9,30,303
2018-02-25 08:30:08.490,8,30,11
2018-02-26 14:30:12.597,14,30,38
2018-02-27 11:00:13.490,11,0,359
2018-02-28 14:00:15.420,14,0,363
2018-03-01 17:30:07.047,17,30,507
2018-03-02 12:30:14.983,12,30,293
2018-03-03 09:00:07.610,9,0,271
2018-03-04 08:30:07.803,8,30,6
2018-03-05 14:00:08.010,14,0,45
